Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
Tech Stack,Non-Functional Requirements,Availability,Chaos Monkey,,,,,,Integration,Other,Tools,Chaos Monkey for AWS,https://vox.sapient.com/docs/DOC-118293,,IND,TW-Jul14-Trial ,0.833333333,Hold,Watch,Out,50,0,No Opinion,0,No Opinion ,0,Maintain,4,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Platform Services,Monitoring,Splunk,,,,,,Infrastructure,Next Generation Platform,Languages and Frameworks,Splunk,https://vox.sapient.com/docs/DOC-119879,,EU,,1,Hold,Invest,Static,50,0,Hold,1,Hold,1,Hold,1,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Platform Services,Security,Tools,Nessus,,,,,Infrastructure,Other,Platforms,Nessus,,,EU,,1.666666667,Watch,Watch,In,50,0,Hold,1,Maintain,4,No Opinion ,0,Maintain,4,Hold,1,,No Opinion,0,
Tech Stack,Platform Services,Security,Protocols,WS-* Standards,,,,,Integration,Other,Platforms,WS-* Standards,,,EU,TW-Jul14-Assess,1.666666667,Watch,Watch,In,50,0,No Opinion,0,No Opinion ,0,Maintain,4,Maintain,4,Hold,1,,Hold,1,
Tech Stack,Platform Services,Security,Protocols,OAuth 2.0,,,,,Integration,Next Generation Platform,Platforms,OAuth 2.0,https://vox.sapient.com/docs/DOC-119924,,EU,TW-Oct13-Assess,0.666666667,Hold,Invest,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
Infrastructure,OS,Native,Windows,,,,,,Infrastructure,Other,Platforms,Microsoft Windows Server,,,EU,,3.333333333,Invest,Watch,Static,50,0,Maintain,4,Maintain,4,Maintain,4,No Opinion ,0,Maintain,4,,Maintain,4,
Infrastructure,OS,Native,Linux based,RHEL,,,,,Infrastructure,Other,Platforms,RHEL,,,EU,,1.833333333,Watch,Watch,Out,50,0,Hold,1,Hold,1,Hold,1,No Opinion ,0,Maintain,4,,Maintain,4,
Infrastructure,OS,Native,Linux based,Ubuntu,,,,,Infrastructure,Other,Platforms,Ubuntu,,,EU,,1,Hold,Exit,Out,50,0,Hold,1,Hold,1,Watch,2,No Opinion ,0,Hold,1,,Hold,1,
Infrastructure,OS,j,Linux based,OpenSUSE,,,,,Infrastructure,Other,Platforms,OpenSUSE,,,EU,,1.833333333,Watch,Exit,Static,50,0,Hold,1,Maintain,4,Maintain,4,No Opinion ,0,Hold,1,,Hold,1,
Infrastructure,OS,Native,Others,Solaris,,,,,Infrastructure,Other,Platforms,Solaris,https://vox.sapient.com/docs/DOC-118560,,EU,,2.333333333,Watch,Exit,Out,50,0,No Opinion,0,Maintain,4,Maintain,4,Maintain,4,Hold,1,,Hold,1,
Infrastructure,OS,VM,,,,,,,Infrastructure,Other,Platforms,VMWare,,,EU,,0.833333333,Hold,Watch,In,50,0,Hold,1,No Opinion ,0,Invest,3,No Opinion ,0,Hold,1,,No Opinion,0,
Infrastructure,Hosting,Cloud,Stack,Types,IAAS,Rackspace,,,Infrastructure,Next Generation Platform,Platforms,Rackspace ,,,EU,TW-May13-Trial ,2,Watch,Watch,In,50,0,No Opinion,0,No Opinion ,0,Maintain,4,No Opinion ,0,Maintain,4,,Maintain,4,
Infrastructure,Hosting,Cloud,Stack,Types,PAAS,MS Azure,,,Infrastructure,Next Generation Platform,Platforms,Microsoft Azure,https://vox.sapient.com/docs/DOC-119884,,EU,TW-May13-Trial ,2.333333333,Watch,Invest,Out,50,0,No Opinion,0,Invest,3,Invest,3,Maintain,4,Maintain,4,,No Opinion,0,
Infrastructure,Hosting,Cloud,Stack,Types,PAAS,Amazon AWS,,,Infrastructure,Next Generation Platform,Platforms,Amazon AWS,https://vox.sapient.com/docs/DOC-119880,,EU,,2.333333333,Watch,Invest,In,50,0,No Opinion,0,No Opinion ,0,Watch,2,Maintain,4,Maintain,4,,Maintain,4,
Infrastructure,Hosting,Cloud,Stack,Types,PAAS,Google Cloud,,,Infrastructure,Next Generation Platform,Platforms,Google App Engine,https://vox.sapient.com/docs/DOC-119882,,EU,,0.5,Hold,Invest,Static,50,0,No Opinion,0,No Opinion ,0,Watch,2,No Opinion ,0,Hold,1,,No Opinion,0,
,,,,,,,,,Infrastructure,Next Generation Platform,Platforms,Google Compute Engine,,,,,,,Invest,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Infrastructure,Next Generation Platform,Platforms,Equinix,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Infrastructure,Next Generation Platform,Platforms,OpenShift by RedHat,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Infrastructure,Next Generation Platform,Platforms,IBM SmartCloud,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Infrastructure,Hosting,Cloud,Stack,DC Management,,,,,Infrastructure,Other,Techniques,DC Management,,,EU,,1.833333333,Watch,Watch,Out,50,0,No Opinion,0,Invest,3,Maintain,4,Maintain,4,No Opinion,0,,No Opinion,0,
Infrastructure,Hosting,Cloud,Management,Storage,IBM,,,,Data layer,Other,Platforms,IBM DB2,,,EU,,0.666666667,Hold,Exit,Static,50,0,No Opinion,0,Hold,1,Watch,2,No Opinion ,0,Hold,1,,No Opinion,0,
Infrastructure,Hosting,Cloud,Digital Ocean,,,,,,Infrastructure,Other,Platforms,DigitalOcean,https://vox.sapient.com/docs/DOC-118329?sr=stream,,EU,TW-Jul14-Assess,1.166666667,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,Invest,3,No Opinion ,0,Watch,2,,Watch,2,
Infrastructure,Tools,Ansible,,,,,,,Infrastructure,Other,Tools,Ansible,https://vox.sapient.com/docs/DOC-119877,,IND,TW-Jul14-Adopt,0.833333333,Hold,Invest,Static,50,0,Invest,3,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Infrastructure,Tools,Docker,,,,,,,Infrastructure,Other,Tools,Docker,https://vox.sapient.com/docs/DOC-118294,,IND,TW-Jul14-Trial ,0,Maintain,Invest,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,No Opinion,0,,No Opinion,0,
Infrastructure,Tools,Foreman,,,,,,,Infrastructure,Other,Tools,Foreman,https://vox.sapient.com/docs/DOC-118296,,EU,TW-Jul14-Trial ,0,Maintain,Watch,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,No Opinion,0,,No Opinion,0,
Infrastructure,Tools,Packer,,,,,,,Infrastructure,Other,Tools,Packer,https://vox.sapient.com/docs/DOC-118303?sr=stream,,EU,TW-Jul14-Trial ,0.166666667,Hold,Watch,Static,50,0,Hold,1,No Opinion ,0,No Opinion ,0,No Opinion ,0,No Opinion,0,,No Opinion,0,
Delivery,QA,Regression,Visual,dpxdt,,,,,Presentation layer,Other,Tools,dpxdt - continous deployment testing,,,EU,TW-Jul14-Trial ,0,Maintain,Watch,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,No Opinion,0,,No Opinion,0,
Delivery,QA,Regression,Visual,Huxley,,,,,Presentation layer,Other,Tools,Huxley - visual regression testing,,,EU,TW-Jul14-Trial ,1.5,Maintain,Watch,Static,50,0,Invest,3,Invest,3,No Opinion ,0,Invest,3,No Opinion,0,,No Opinion,0,
Delivery,QA,Regression,Visual,PhantomCSS,,,,,Presentation layer,Next Generation Platform,Tools,PhantomJS - screen capture,https://vox.sapient.com/docs/DOC-119847,,IND,TW-Jul14-Trial ,1,Hold,Invest,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,Invest,3,
Delivery,QA,Regression,Visual,Wraith,,,,,Presentation layer,Other,Tools,Wraith - screenshot comparision testing,,,EU,TW-Jul14-Trial ,2,Watch,Watch,In,50,0,No Opinion,0,Maintain,4,Maintain,4,Maintain,4,No Opinion,0,,No Opinion,0,
Delivery,JIRA,,,,,,,,Delivery,Other,Tools,JIRA,,,EU,,1.166666667,Hold,Invest,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Maintain,4,,Invest,3,
Infrastructure,Hosting,Cloud,Stack,Types,IAAS,,,,Data layer,Other,Platforms,Storm,https://vox.sapient.com/docs/DOC-118356?sr=stream,,IND,,0.5,Hold,Watch,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,,,,Presentation layer,Other,Tools,Calabash - mobile acceptance testing,,,IND,,0.333333333,Hold,Watch,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Delivery,QA,Testing,,,,,,,Infrastructure,Other,Tools,Gatling,,,IND,,0.333333333,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Non Functional ,,,,,,,,Presentation layer,Other,Tools,Hystrix - latency testing,,,IND,,0.333333333,Hold,Watch,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Non-Functional Requirements,Availability,,,,,,,Infrastructure,Other,Tools,Puppet and Chef,,,IND,,0.666666667,Hold,Watch,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
,,,,,,,,,Infrastructure,Next Generation Platform,Tools,uDeploy,,,,,,,Watch,In,50,1,,,,,,,,,,,,,,
Tech Stack,Layers,Service,Web Servers,,,,,,Infrastructure,Other,Techniques,Cloud-init,,,IND,,0.5,Hold,Watch,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Infrastructure,Hosting,Cloud,Deployment models,,,,,,Infrastructure,Other,Tools,Octopus,,,IND,,0.333333333,Hold,Watch,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
,,,,,,,,,Infrastructure,Other,Tools,Sensu,,,IND,,0.5,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
,,,,,,,,,Infrastructure,Next Generation Platform,Techniques,SaaS,,,,,,,Invest,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Infrastructure,Next Generation Platform,Techniques,PaaS,,,,,,,Invest,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Infrastructure,Next Generation Platform,Techniques,IaaS,,,,,,,Invest,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Presentation,Native,Mobile,iOS,,,,Infrastructure,Other,Tools,Ant,,,IND,,1.333333333,Hold,Exit,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Languages,Interpreted,Ruby,,,,,,Presentation layer,Other,Languages and Frameworks,CoffeeScript,https://vox.sapient.com/docs/DOC-119875,,IND,,0.5,Hold,Invest,Static,50,0,No Opinion,0,Hold,1,No Opinion ,0,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Languages,Interpreted,,,,,,,Business services,Other,Languages and Frameworks,Go Language,,,IND,,1.166666667,Hold,Watch,Out,50,0,No Opinion,0,Invest,3,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
Tech Stack,Languages,Compiled Languages,,,,,,,Presentation layer,Next Generation Platform,Platforms,Play Framework,,,IND,,1.166666667,Hold,Watch,In,50,0,No Opinion,0,Invest,3,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
Tech Stack,Layers,Business Logic,Types,Non-blocking I/O,,,,,Presentation layer,Other,Languages and Frameworks,JSF,,,IND,,0.666666667,Hold,Exit,Out,50,0,No Opinion,0,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Tools,Version Control,,,,,,,Delivery,Other,Tools,Mercurial,,,IND,,0.833333333,Hold,Exit,Out,50,0,No Opinion,0,Invest,3,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Tools,Version Control,,,,,,,Delivery,Other,Tools,Stash,,,IND,,1.5,Maintain,Invest,In,50,0,No Opinion,0,Invest,3,Invest,3,No Opinion ,0,Invest,3,,No Opinion,0,
Delivery,QA,Testing,Framework,,,,,,Delivery,Other,Tools,Selenium,,,IND,,1.333333333,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Survey Software,,,,,,,,,Business services,Other,Tools,Apian,,,,,0.333333333,Hold,Watch,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
,,,,,,,,,Business services,Next Generation Platform,Techniques,REST API based services / API Management,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Business services,Other,Techniques,Reactive Extensions (across Languages),https://vox.sapient.com/docs/DOC-119777,,,,0.833333333,Hold,Invest,Static,50,0,No Opinion,0,Invest,3,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
,,,,,,,,,Data layer,Business Intelligence,Techniques,Predictive Analytics,https://vox.sapient.com/docs/DOC-119779,,,,0.5,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
,,,,,,,,,Business services,Next Generation Platform,Techniques,Functional Programming,https://vox.sapient.com/docs/DOC-119778,,,,0.5,Hold,Invest,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,Mule ESB,,Maintain,In,,,,Invest,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,IBM Websphere Message Broker,50,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,TIBCO Business Works,50,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,Oracle SOA Suite,50,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,Fuse ESB,50,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,Webmethods,50,,,,,,Exit,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,Apache Active MQ,50,,,,,,Invest,in,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,UltraESB,50,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,Apache Camel,50,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,OpenESB,,Maintain,In,,0,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ESB / Message Broker / EAI,,,,Integration,Other,Platforms,BizTalk Server,,,,,,,Maintain,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ETL,,,,Integration,Other,Platforms,Pentaho Kettle,,Maintain,Static,,0,,Watch,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ETL,,,,Integration,Other,Platforms,Ab Initio,,Maintain,Static,,0,,Exit,Out,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ETL,,,,Integration,Other,Platforms,IBM DatStage,,Maintain,Static,,0,,Watch,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ETL,,,,Integration,Other,Platforms,Talend,,Maintain,Static,,0,,Invest,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ETL,,,,Integration,Other,Platforms,Informatica,,Maintain,Static,,0,,Maintain,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,ETL,,,,Integration,Other,Platforms,SQL Server Integration Services (SSIS),,Maintain,Static,,0,,Maintain,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,BPM,,,,Integration,Other,Platforms,iBPM,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,BPM,,,,Integration,Other,Platforms,Activiti BPM,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,BPM,,,,Integration,Other,Platforms,Oracle BPM,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,BPM,,,,Integration,Other,Platforms,IBM BPM,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,BPM,,,,Integration,Other,Platforms,PegaSystems,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
,Layers,Presentation Layers,,,,,,,Presentation layer,Design,Techniques,Material Design,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
